placeDcid,placeName,Date:Percent_Person_WithMentalHealthNotGood,Value:Percent_Person_WithMentalHealthNotGood,Source:Percent_Person_WithMentalHealthNotGood,Date:Percent_Person_WithPhysicalHealthNotGood,Value:Percent_Person_WithPhysicalHealthNotGood,Source:Percent_Person_WithPhysicalHealthNotGood,Date:Percent_Person_18OrMoreYears_WithPoorGeneralHealth,Value:Percent_Person_18OrMoreYears_WithPoorGeneralHealth,Source:Percent_Person_18OrMoreYears_WithPoorGeneralHealth,Date:Percent_Person_WithStroke,Value:Percent_Person_WithStroke,Source:Percent_Person_WithStroke
geoId/01021,Chilton County,2022,19,https://www.cdc.gov/places/index.html,2022,13.5,https://www.cdc.gov/places/index.html,2022,19.6,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/01023,Choctaw County,2022,21.6,https://www.cdc.gov/places/index.html,2022,16.2,https://www.cdc.gov/places/index.html,2022,26.5,https://www.cdc.gov/places/index.html,2022,4.6,https://www.cdc.gov/places/index.html
geoId/01025,Clarke County,2022,21.4,https://www.cdc.gov/places/index.html,2022,15.9,https://www.cdc.gov/places/index.html,2022,26.2,https://www.cdc.gov/places/index.html,2022,4.4,https://www.cdc.gov/places/index.html
geoId/01027,Clay County,2022,22.1,https://www.cdc.gov/places/index.html,2022,16,https://www.cdc.gov/places/index.html,2022,24.6,https://www.cdc.gov/places/index.html,2022,4,https://www.cdc.gov/places/index.html
geoId/01029,Cleburne County,2022,21.4,https://www.cdc.gov/places/index.html,2022,15.6,https://www.cdc.gov/places/index.html,2022,23.1,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01031,Coffee County,2022,18,https://www.cdc.gov/places/index.html,2022,13.1,https://www.cdc.gov/places/index.html,2022,19.5,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/01033,Colbert County,2022,20.3,https://www.cdc.gov/places/index.html,2022,14.3,https://www.cdc.gov/places/index.html,2022,21.5,https://www.cdc.gov/places/index.html,2022,3.6,https://www.cdc.gov/places/index.html
geoId/01035,Conecuh County,2022,20.8,https://www.cdc.gov/places/index.html,2022,15.8,https://www.cdc.gov/places/index.html,2022,26.4,https://www.cdc.gov/places/index.html,2022,4.7,https://www.cdc.gov/places/index.html
geoId/01037,Coosa County,2022,21.1,https://www.cdc.gov/places/index.html,2022,14.8,https://www.cdc.gov/places/index.html,2022,23.7,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01039,Covington County,2022,21.3,https://www.cdc.gov/places/index.html,2022,14.6,https://www.cdc.gov/places/index.html,2022,21.8,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/01041,Crenshaw County,2022,20.8,https://www.cdc.gov/places/index.html,2022,14.9,https://www.cdc.gov/places/index.html,2022,23.6,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01043,Cullman County,2022,20.8,https://www.cdc.gov/places/index.html,2022,14.9,https://www.cdc.gov/places/index.html,2022,21.8,https://www.cdc.gov/places/index.html,2022,3.7,https://www.cdc.gov/places/index.html
geoId/01045,Dale County,2022,19.7,https://www.cdc.gov/places/index.html,2022,15,https://www.cdc.gov/places/index.html,2022,23,https://www.cdc.gov/places/index.html,2022,4,https://www.cdc.gov/places/index.html
geoId/01047,Dallas County,2022,21.1,https://www.cdc.gov/places/index.html,2022,16.4,https://www.cdc.gov/places/index.html,2022,28.1,https://www.cdc.gov/places/index.html,2022,5.2,https://www.cdc.gov/places/index.html
geoId/01049,DeKalb County,2022,22,https://www.cdc.gov/places/index.html,2022,17.6,https://www.cdc.gov/places/index.html,2022,28.1,https://www.cdc.gov/places/index.html,2022,4.4,https://www.cdc.gov/places/index.html
geoId/01051,Elmore County,2022,19.1,https://www.cdc.gov/places/index.html,2022,12.7,https://www.cdc.gov/places/index.html,2022,18.8,https://www.cdc.gov/places/index.html,2022,3.2,https://www.cdc.gov/places/index.html
geoId/01053,Escambia County,2022,21.8,https://www.cdc.gov/places/index.html,2022,16.3,https://www.cdc.gov/places/index.html,2022,25.7,https://www.cdc.gov/places/index.html,2022,4.4,https://www.cdc.gov/places/index.html
geoId/01055,Etowah County,2022,21.1,https://www.cdc.gov/places/index.html,2022,14.9,https://www.cdc.gov/places/index.html,2022,22.2,https://www.cdc.gov/places/index.html,2022,3.8,https://www.cdc.gov/places/index.html
geoId/01057,Fayette County,2022,22.5,https://www.cdc.gov/places/index.html,2022,16.7,https://www.cdc.gov/places/index.html,2022,25.4,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/01059,Franklin County,2022,21,https://www.cdc.gov/places/index.html,2022,16.4,https://www.cdc.gov/places/index.html,2022,25.5,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/01061,Geneva County,2022,20.2,https://www.cdc.gov/places/index.html,2022,15.1,https://www.cdc.gov/places/index.html,2022,22.6,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01063,Greene County,2022,23,https://www.cdc.gov/places/index.html,2022,18.7,https://www.cdc.gov/places/index.html,2022,34.1,https://www.cdc.gov/places/index.html,2022,6,https://www.cdc.gov/places/index.html
geoId/01065,Hale County,2022,20.8,https://www.cdc.gov/places/index.html,2022,15.4,https://www.cdc.gov/places/index.html,2022,26.3,https://www.cdc.gov/places/index.html,2022,4.6,https://www.cdc.gov/places/index.html
geoId/01067,Henry County,2022,22.1,https://www.cdc.gov/places/index.html,2022,16.4,https://www.cdc.gov/places/index.html,2022,25.8,https://www.cdc.gov/places/index.html,2022,4.3,https://www.cdc.gov/places/index.html
geoId/01069,Houston County,2022,21.1,https://www.cdc.gov/places/index.html,2022,14.7,https://www.cdc.gov/places/index.html,2022,22.3,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01071,Jackson County,2022,22,https://www.cdc.gov/places/index.html,2022,16.2,https://www.cdc.gov/places/index.html,2022,24,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/01073,Jefferson County,2022,18,https://www.cdc.gov/places/index.html,2022,12.7,https://www.cdc.gov/places/index.html,2022,19.7,https://www.cdc.gov/places/index.html,2022,3.7,https://www.cdc.gov/places/index.html
geoId/01075,Lamar County,2022,20.8,https://www.cdc.gov/places/index.html,2022,14.8,https://www.cdc.gov/places/index.html,2022,22.2,https://www.cdc.gov/places/index.html,2022,3.7,https://www.cdc.gov/places/index.html
geoId/01077,Lauderdale County,2022,19.4,https://www.cdc.gov/places/index.html,2022,13.1,https://www.cdc.gov/places/index.html,2022,18.8,https://www.cdc.gov/places/index.html,2022,3.2,https://www.cdc.gov/places/index.html
geoId/01079,Lawrence County,2022,21.8,https://www.cdc.gov/places/index.html,2022,15.9,https://www.cdc.gov/places/index.html,2022,24,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/01081,Lee County,2022,19.4,https://www.cdc.gov/places/index.html,2022,13,https://www.cdc.gov/places/index.html,2022,19.7,https://www.cdc.gov/places/index.html,2022,3.4,https://www.cdc.gov/places/index.html
geoId/01083,Limestone County,2022,18.6,https://www.cdc.gov/places/index.html,2022,12.5,https://www.cdc.gov/places/index.html,2022,18.2,https://www.cdc.gov/places/index.html,2022,3.1,https://www.cdc.gov/places/index.html
geoId/01085,Lowndes County,2022,21.8,https://www.cdc.gov/places/index.html,2022,17.1,https://www.cdc.gov/places/index.html,2022,30,https://www.cdc.gov/places/index.html,2022,5.5,https://www.cdc.gov/places/index.html
geoId/01087,Macon County,2022,20.5,https://www.cdc.gov/places/index.html,2022,15.9,https://www.cdc.gov/places/index.html,2022,28.4,https://www.cdc.gov/places/index.html,2022,5.3,https://www.cdc.gov/places/index.html
geoId/01089,Madison County,2022,17.1,https://www.cdc.gov/places/index.html,2022,11.8,https://www.cdc.gov/places/index.html,2022,17.2,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/01091,Marengo County,2022,20.8,https://www.cdc.gov/places/index.html,2022,15.7,https://www.cdc.gov/places/index.html,2022,26,https://www.cdc.gov/places/index.html,2022,4.6,https://www.cdc.gov/places/index.html
geoId/01093,Marion County,2022,20.6,https://www.cdc.gov/places/index.html,2022,15.4,https://www.cdc.gov/places/index.html,2022,22.8,https://www.cdc.gov/places/index.html,2022,4,https://www.cdc.gov/places/index.html
geoId/01095,Marshall County,2022,20.2,https://www.cdc.gov/places/index.html,2022,14.5,https://www.cdc.gov/places/index.html,2022,20.7,https://www.cdc.gov/places/index.html,2022,3.3,https://www.cdc.gov/places/index.html
geoId/01097,Mobile County,2022,20.3,https://www.cdc.gov/places/index.html,2022,15.1,https://www.cdc.gov/places/index.html,2022,24.7,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/01099,Monroe County,2022,21.3,https://www.cdc.gov/places/index.html,2022,15.8,https://www.cdc.gov/places/index.html,2022,26.1,https://www.cdc.gov/places/index.html,2022,4.5,https://www.cdc.gov/places/index.html
geoId/01101,Montgomery County,2022,19.9,https://www.cdc.gov/places/index.html,2022,14.4,https://www.cdc.gov/places/index.html,2022,24.8,https://www.cdc.gov/places/index.html,2022,4.3,https://www.cdc.gov/places/index.html
geoId/01103,Morgan County,2022,20,https://www.cdc.gov/places/index.html,2022,14.2,https://www.cdc.gov/places/index.html,2022,21.9,https://www.cdc.gov/places/index.html,2022,3.6,https://www.cdc.gov/places/index.html
geoId/01105,Perry County,2022,23.1,https://www.cdc.gov/places/index.html,2022,18.4,https://www.cdc.gov/places/index.html,2022,32.9,https://www.cdc.gov/places/index.html,2022,5.8,https://www.cdc.gov/places/index.html
geoId/01107,Pickens County,2022,20.3,https://www.cdc.gov/places/index.html,2022,15.5,https://www.cdc.gov/places/index.html,2022,25.6,https://www.cdc.gov/places/index.html,2022,4.4,https://www.cdc.gov/places/index.html
geoId/01109,Pike County,2022,19.4,https://www.cdc.gov/places/index.html,2022,13.7,https://www.cdc.gov/places/index.html,2022,21.7,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01111,Randolph County,2022,21.4,https://www.cdc.gov/places/index.html,2022,15.2,https://www.cdc.gov/places/index.html,2022,23.5,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01113,Russell County,2022,21.3,https://www.cdc.gov/places/index.html,2022,16,https://www.cdc.gov/places/index.html,2022,26.4,https://www.cdc.gov/places/index.html,2022,4.6,https://www.cdc.gov/places/index.html
geoId/01115,St. Clair County,2022,19,https://www.cdc.gov/places/index.html,2022,12.5,https://www.cdc.gov/places/index.html,2022,17.8,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/01117,Shelby County,2022,16.5,https://www.cdc.gov/places/index.html,2022,10.4,https://www.cdc.gov/places/index.html,2022,14.6,https://www.cdc.gov/places/index.html,2022,2.5,https://www.cdc.gov/places/index.html
geoId/01119,Sumter County,2022,21.8,https://www.cdc.gov/places/index.html,2022,16.6,https://www.cdc.gov/places/index.html,2022,29.5,https://www.cdc.gov/places/index.html,2022,5.3,https://www.cdc.gov/places/index.html
geoId/01121,Talladega County,2022,20.8,https://www.cdc.gov/places/index.html,2022,15.4,https://www.cdc.gov/places/index.html,2022,23.5,https://www.cdc.gov/places/index.html,2022,4,https://www.cdc.gov/places/index.html
geoId/01123,Tallapoosa County,2022,19.8,https://www.cdc.gov/places/index.html,2022,14.5,https://www.cdc.gov/places/index.html,2022,22.8,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/01125,Tuscaloosa County,2022,20,https://www.cdc.gov/places/index.html,2022,13.7,https://www.cdc.gov/places/index.html,2022,21.3,https://www.cdc.gov/places/index.html,2022,3.6,https://www.cdc.gov/places/index.html
geoId/01127,Walker County,2022,22.1,https://www.cdc.gov/places/index.html,2022,16.5,https://www.cdc.gov/places/index.html,2022,25,https://www.cdc.gov/places/index.html,2022,4,https://www.cdc.gov/places/index.html
geoId/01129,Washington County,2022,21.9,https://www.cdc.gov/places/index.html,2022,16.2,https://www.cdc.gov/places/index.html,2022,25.1,https://www.cdc.gov/places/index.html,2022,4.3,https://www.cdc.gov/places/index.html
geoId/01131,Wilcox County,2022,23.6,https://www.cdc.gov/places/index.html,2022,19,https://www.cdc.gov/places/index.html,2022,33.9,https://www.cdc.gov/places/index.html,2022,5.8,https://www.cdc.gov/places/index.html
geoId/01133,Winston County,2022,19.2,https://www.cdc.gov/places/index.html,2022,14.7,https://www.cdc.gov/places/index.html,2022,21.4,https://www.cdc.gov/places/index.html,2022,3.8,https://www.cdc.gov/places/index.html
geoId/02013,Aleutians East Borough,2022,13.3,https://www.cdc.gov/places/index.html,2022,12.9,https://www.cdc.gov/places/index.html,2022,19.8,https://www.cdc.gov/places/index.html,2022,3.8,https://www.cdc.gov/places/index.html
geoId/02016,Aleutians West Census Area,2022,13.5,https://www.cdc.gov/places/index.html,2022,11.7,https://www.cdc.gov/places/index.html,2022,17.4,https://www.cdc.gov/places/index.html,2022,3.3,https://www.cdc.gov/places/index.html
geoId/02020,Anchorage Municipality,2022,14.8,https://www.cdc.gov/places/index.html,2022,11.1,https://www.cdc.gov/places/index.html,2022,13.7,https://www.cdc.gov/places/index.html,2022,2.7,https://www.cdc.gov/places/index.html
geoId/02050,Bethel Census Area,2022,22.3,https://www.cdc.gov/places/index.html,2022,21.4,https://www.cdc.gov/places/index.html,2022,29.9,https://www.cdc.gov/places/index.html,2022,6.3,https://www.cdc.gov/places/index.html
geoId/02060,Bristol Bay Borough,2022,17.2,https://www.cdc.gov/places/index.html,2022,13.3,https://www.cdc.gov/places/index.html,2022,16.5,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/02063,Chugach Census Area,2022,14.9,https://www.cdc.gov/places/index.html,2022,11.2,https://www.cdc.gov/places/index.html,2022,13.6,https://www.cdc.gov/places/index.html,2022,2.8,https://www.cdc.gov/places/index.html
geoId/02066,Copper River Census Area,2022,16.7,https://www.cdc.gov/places/index.html,2022,13,https://www.cdc.gov/places/index.html,2022,16.6,https://www.cdc.gov/places/index.html,2022,3.4,https://www.cdc.gov/places/index.html
geoId/02068,Denali Borough,2022,14.8,https://www.cdc.gov/places/index.html,2022,11.2,https://www.cdc.gov/places/index.html,2022,13.8,https://www.cdc.gov/places/index.html,2022,2.9,https://www.cdc.gov/places/index.html
geoId/02070,Dillingham Census Area,2022,20.5,https://www.cdc.gov/places/index.html,2022,18,https://www.cdc.gov/places/index.html,2022,25.6,https://www.cdc.gov/places/index.html,2022,5.1,https://www.cdc.gov/places/index.html
geoId/02090,Fairbanks North Star Borough,2022,15.7,https://www.cdc.gov/places/index.html,2022,11,https://www.cdc.gov/places/index.html,2022,13.8,https://www.cdc.gov/places/index.html,2022,2.6,https://www.cdc.gov/places/index.html
geoId/02100,Haines Borough,2022,15.9,https://www.cdc.gov/places/index.html,2022,11.4,https://www.cdc.gov/places/index.html,2022,14.1,https://www.cdc.gov/places/index.html,2022,2.9,https://www.cdc.gov/places/index.html
geoId/02105,Hoonah-Angoon Census Area,2022,18.3,https://www.cdc.gov/places/index.html,2022,14.6,https://www.cdc.gov/places/index.html,2022,19.4,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/02110,Juneau City and Borough,2022,15.3,https://www.cdc.gov/places/index.html,2022,10.7,https://www.cdc.gov/places/index.html,2022,12.7,https://www.cdc.gov/places/index.html,2022,2.6,https://www.cdc.gov/places/index.html
geoId/02122,Kenai Peninsula Borough,2022,15.5,https://www.cdc.gov/places/index.html,2022,13,https://www.cdc.gov/places/index.html,2022,15.6,https://www.cdc.gov/places/index.html,2022,3.1,https://www.cdc.gov/places/index.html
geoId/02130,Ketchikan Gateway Borough,2022,15.9,https://www.cdc.gov/places/index.html,2022,11.9,https://www.cdc.gov/places/index.html,2022,14.7,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/02150,Kodiak Island Borough,2022,15.5,https://www.cdc.gov/places/index.html,2022,12.3,https://www.cdc.gov/places/index.html,2022,16,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/02158,Kusilvak Census Area,2022,24.8,https://www.cdc.gov/places/index.html,2022,24.9,https://www.cdc.gov/places/index.html,2022,36.8,https://www.cdc.gov/places/index.html,2022,7.6,https://www.cdc.gov/places/index.html
geoId/02164,Lake and Peninsula Borough,2022,19.5,https://www.cdc.gov/places/index.html,2022,16.4,https://www.cdc.gov/places/index.html,2022,22.1,https://www.cdc.gov/places/index.html,2022,4.6,https://www.cdc.gov/places/index.html
geoId/02170,Matanuska-Susitna Borough,2022,18.2,https://www.cdc.gov/places/index.html,2022,14.7,https://www.cdc.gov/places/index.html,2022,18.6,https://www.cdc.gov/places/index.html,2022,3.2,https://www.cdc.gov/places/index.html
geoId/02180,Nome Census Area,2022,22.7,https://www.cdc.gov/places/index.html,2022,20.1,https://www.cdc.gov/places/index.html,2022,28.8,https://www.cdc.gov/places/index.html,2022,5.7,https://www.cdc.gov/places/index.html
geoId/02185,North Slope Borough,2022,17.2,https://www.cdc.gov/places/index.html,2022,14.4,https://www.cdc.gov/places/index.html,2022,19.4,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/02188,Northwest Arctic Borough,2022,21.5,https://www.cdc.gov/places/index.html,2022,19,https://www.cdc.gov/places/index.html,2022,26.7,https://www.cdc.gov/places/index.html,2022,5.4,https://www.cdc.gov/places/index.html
geoId/02195,Petersburg Borough,2022,15.5,https://www.cdc.gov/places/index.html,2022,11.9,https://www.cdc.gov/places/index.html,2022,15.2,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/02198,Prince of Wales-Hyder Census Area,2022,18.8,https://www.cdc.gov/places/index.html,2022,15.4,https://www.cdc.gov/places/index.html,2022,20.2,https://www.cdc.gov/places/index.html,2022,4.3,https://www.cdc.gov/places/index.html
geoId/02220,Sitka City and Borough,2022,16.4,https://www.cdc.gov/places/index.html,2022,12.2,https://www.cdc.gov/places/index.html,2022,14.9,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/02230,Skagway Municipality,2022,16.3,https://www.cdc.gov/places/index.html,2022,12.3,https://www.cdc.gov/places/index.html,2022,15.6,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/02240,Southeast Fairbanks Census Area,2022,16.6,https://www.cdc.gov/places/index.html,2022,14.1,https://www.cdc.gov/places/index.html,2022,18.3,https://www.cdc.gov/places/index.html,2022,3.7,https://www.cdc.gov/places/index.html
geoId/02275,Wrangell City and Borough,2022,17.7,https://www.cdc.gov/places/index.html,2022,13.3,https://www.cdc.gov/places/index.html,2022,17.2,https://www.cdc.gov/places/index.html,2022,3.3,https://www.cdc.gov/places/index.html
geoId/02282,Yakutat City and Borough,2022,17.8,https://www.cdc.gov/places/index.html,2022,14.7,https://www.cdc.gov/places/index.html,2022,19.9,https://www.cdc.gov/places/index.html,2022,3.9,https://www.cdc.gov/places/index.html
geoId/02290,Yukon-Koyukuk Census Area,2022,21.2,https://www.cdc.gov/places/index.html,2022,19.3,https://www.cdc.gov/places/index.html,2022,27,https://www.cdc.gov/places/index.html,2022,5.7,https://www.cdc.gov/places/index.html
geoId/04001,Apache County,2022,26.7,https://www.cdc.gov/places/index.html,2022,21.9,https://www.cdc.gov/places/index.html,2022,32.5,https://www.cdc.gov/places/index.html,2022,6.5,https://www.cdc.gov/places/index.html
geoId/04003,Cochise County,2022,19.2,https://www.cdc.gov/places/index.html,2022,14.4,https://www.cdc.gov/places/index.html,2022,19.4,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/04005,Coconino County,2022,18.9,https://www.cdc.gov/places/index.html,2022,13.7,https://www.cdc.gov/places/index.html,2022,17.5,https://www.cdc.gov/places/index.html,2022,3.6,https://www.cdc.gov/places/index.html
geoId/04007,Gila County,2022,22,https://www.cdc.gov/places/index.html,2022,16.7,https://www.cdc.gov/places/index.html,2022,22.3,https://www.cdc.gov/places/index.html,2022,3.8,https://www.cdc.gov/places/index.html
geoId/04009,Graham County,2022,19.5,https://www.cdc.gov/places/index.html,2022,15.1,https://www.cdc.gov/places/index.html,2022,21.7,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/04011,Greenlee County,2022,18.1,https://www.cdc.gov/places/index.html,2022,13.5,https://www.cdc.gov/places/index.html,2022,19.6,https://www.cdc.gov/places/index.html,2022,3.1,https://www.cdc.gov/places/index.html
geoId/04012,La Paz County,2022,20.8,https://www.cdc.gov/places/index.html,2022,17.1,https://www.cdc.gov/places/index.html,2022,25.2,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/04013,Maricopa County,2022,16.7,https://www.cdc.gov/places/index.html,2022,12.2,https://www.cdc.gov/places/index.html,2022,17.1,https://www.cdc.gov/places/index.html,2022,2.9,https://www.cdc.gov/places/index.html
geoId/04015,Mohave County,2022,20.7,https://www.cdc.gov/places/index.html,2022,15.5,https://www.cdc.gov/places/index.html,2022,21.2,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/04017,Navajo County,2022,24,https://www.cdc.gov/places/index.html,2022,18.6,https://www.cdc.gov/places/index.html,2022,25.6,https://www.cdc.gov/places/index.html,2022,4.8,https://www.cdc.gov/places/index.html
geoId/04019,Pima County,2022,18.8,https://www.cdc.gov/places/index.html,2022,13.3,https://www.cdc.gov/places/index.html,2022,19.2,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/04021,Pinal County,2022,19.7,https://www.cdc.gov/places/index.html,2022,14.9,https://www.cdc.gov/places/index.html,2022,19.6,https://www.cdc.gov/places/index.html,2022,3.2,https://www.cdc.gov/places/index.html
geoId/04023,Santa Cruz County,2022,17.6,https://www.cdc.gov/places/index.html,2022,15.9,https://www.cdc.gov/places/index.html,2022,25.3,https://www.cdc.gov/places/index.html,2022,3.3,https://www.cdc.gov/places/index.html
geoId/04025,Yavapai County,2022,17.9,https://www.cdc.gov/places/index.html,2022,13.1,https://www.cdc.gov/places/index.html,2022,16.6,https://www.cdc.gov/places/index.html,2022,3,https://www.cdc.gov/places/index.html
geoId/04027,Yuma County,2022,18.6,https://www.cdc.gov/places/index.html,2022,15.8,https://www.cdc.gov/places/index.html,2022,24.7,https://www.cdc.gov/places/index.html,2022,3.6,https://www.cdc.gov/places/index.html
geoId/05001,Arkansas County,2022,23,https://www.cdc.gov/places/index.html,2022,16.9,https://www.cdc.gov/places/index.html,2022,26.2,https://www.cdc.gov/places/index.html,2022,4.1,https://www.cdc.gov/places/index.html
geoId/05003,Ashley County,2022,21.9,https://www.cdc.gov/places/index.html,2022,16.9,https://www.cdc.gov/places/index.html,2022,26.3,https://www.cdc.gov/places/index.html,2022,4.3,https://www.cdc.gov/places/index.html
geoId/05005,Baxter County,2022,21.2,https://www.cdc.gov/places/index.html,2022,16,https://www.cdc.gov/places/index.html,2022,22.4,https://www.cdc.gov/places/index.html,2022,3.6,https://www.cdc.gov/places/index.html
geoId/05007,Benton County,2022,17.2,https://www.cdc.gov/places/index.html,2022,12.2,https://www.cdc.gov/places/index.html,2022,16.9,https://www.cdc.gov/places/index.html,2022,2.8,https://www.cdc.gov/places/index.html
geoId/05009,Boone County,2022,21.8,https://www.cdc.gov/places/index.html,2022,15.4,https://www.cdc.gov/places/index.html,2022,21.3,https://www.cdc.gov/places/index.html,2022,3.2,https://www.cdc.gov/places/index.html
geoId/05011,Bradley County,2022,22.3,https://www.cdc.gov/places/index.html,2022,17.6,https://www.cdc.gov/places/index.html,2022,28.3,https://www.cdc.gov/places/index.html,2022,4.3,https://www.cdc.gov/places/index.html
geoId/05013,Calhoun County,2022,22.1,https://www.cdc.gov/places/index.html,2022,15.8,https://www.cdc.gov/places/index.html,2022,24.2,https://www.cdc.gov/places/index.html,2022,3.5,https://www.cdc.gov/places/index.html
geoId/05015,Carroll County,2022,19.3,https://www.cdc.gov/places/index.html,2022,15.2,https://www.cdc.gov/places/index.html,2022,22.5,https://www.cdc.gov/places/index.html,2022,3.6,https://www.cdc.gov/places/index.html
geoId/05017,Chicot County,2022,22.3,https://www.cdc.gov/places/index.html,2022,18,https://www.cdc.gov/places/index.html,2022,31,https://www.cdc.gov/places/index.html,2022,5.1,https://www.cdc.gov/places/index.html
geoId/05019,Clark County,2022,21.6,https://www.cdc.gov/places/index.html,2022,17,https://www.cdc.gov/places/index.html,2022,25.9,https://www.cdc.gov/places/index.html,2022,4.2,https://www.cdc.gov/places/index.html
