placeDcid,placeName,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit
geoId/01069,Houston County,2022,858,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01071,Jackson County,2022,702,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01073,Jefferson County,2022,1086,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01075,Lamar County,2022,495,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01077,Lauderdale County,2022,773,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01079,Lawrence County,2022,692,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01081,Lee County,2022,953,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01083,Limestone County,2022,861,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01085,Lowndes County,2022,760,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01087,Macon County,2022,688,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01089,Madison County,2022,1043,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01091,Marengo County,2022,702,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01093,Marion County,2022,581,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01095,Marshall County,2022,746,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01097,Mobile County,2022,973,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01099,Monroe County,2022,692,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01101,Montgomery County,2022,1028,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01103,Morgan County,2022,791,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01105,Perry County,2022,560,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01107,Pickens County,2022,578,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01109,Pike County,2022,750,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01111,Randolph County,2022,704,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01113,Russell County,2022,908,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01115,St. Clair County,2022,1044,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01117,Shelby County,2022,1272,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01119,Sumter County,2022,770,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01121,Talladega County,2022,750,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01123,Tallapoosa County,2022,701,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01125,Tuscaloosa County,2022,974,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01127,Walker County,2022,698,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01129,Washington County,2022,698,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01131,Wilcox County,2022,787,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/01133,Winston County,2022,680,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02013,Aleutians East Borough,2022,1035,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02016,Aleutians West Census Area,2022,1672,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02020,Anchorage Municipality,2022,1405,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02050,Bethel Census Area,2022,1408,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02060,Bristol Bay Borough,2022,1183,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02063,Chugach Census Area,2022,1364,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02066,Copper River Census Area,2022,877,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02068,Denali Borough,2022,863,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02070,Dillingham Census Area,2022,1106,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02090,Fairbanks North Star Borough,2022,1360,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02100,Haines Borough,2022,889,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02105,Hoonah-Angoon Census Area,2022,996,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02110,Juneau City and Borough,2022,1464,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02122,Kenai Peninsula Borough,2022,1126,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02130,Ketchikan Gateway Borough,2022,1275,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02150,Kodiak Island Borough,2022,1646,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02158,Kusilvak Census Area,2022,819,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02164,Lake and Peninsula Borough,2022,933,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02170,Matanuska-Susitna Borough,2022,1242,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02180,Nome Census Area,2022,1349,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02185,North Slope Borough,2022,1231,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02188,Northwest Arctic Borough,2022,1386,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02195,Petersburg Borough,2022,1074,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02198,Prince of Wales-Hyder Census Area,2022,883,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02220,Sitka City and Borough,2022,1309,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02230,Skagway Municipality,2022,1044,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02240,Southeast Fairbanks Census Area,2022,1190,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02275,Wrangell City and Borough,2022,966,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02282,Yakutat City and Borough,2022,1304,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/02290,Yukon-Koyukuk Census Area,2022,906,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04001,Apache County,2022,635,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04003,Cochise County,2022,893,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04005,Coconino County,2022,1353,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04007,Gila County,2022,966,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04009,Graham County,2022,856,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04011,Greenlee County,2022,532,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04012,La Paz County,2022,691,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04013,Maricopa County,2022,1437,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04015,Mohave County,2022,976,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04017,Navajo County,2022,800,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04019,Pima County,2022,1071,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04021,Pinal County,2022,1317,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04023,Santa Cruz County,2022,741,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04025,Yavapai County,2022,1128,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/04027,Yuma County,2022,950,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05001,Arkansas County,2022,749,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05003,Ashley County,2022,610,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05005,Baxter County,2022,810,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05007,Benton County,2022,1113,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05009,Boone County,2022,687,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05011,Bradley County,2022,636,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05013,Calhoun County,2022,808,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05015,Carroll County,2022,751,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05017,Chicot County,2022,536,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05019,Clark County,2022,690,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05021,Clay County,2022,639,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05023,Cleburne County,2022,844,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05025,Cleveland County,2022,673,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05027,Columbia County,2022,690,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05029,Conway County,2022,698,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05031,Craighead County,2022,870,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05033,Crawford County,2022,789,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05035,Crittenden County,2022,831,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05037,Cross County,2022,815,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05039,Dallas County,2022,563,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05041,Desha County,2022,628,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05043,Drew County,2022,708,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05045,Faulkner County,2022,931,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05047,Franklin County,2022,684,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05049,Fulton County,2022,649,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05051,Garland County,2022,913,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05053,Grant County,2022,802,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05055,Greene County,2022,808,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05057,Hempstead County,2022,764,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05059,Hot Spring County,2022,713,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05061,Howard County,2022,732,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05063,Independence County,2022,774,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05065,Izard County,2022,616,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05067,Jackson County,2022,650,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05069,Jefferson County,2022,820,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05071,Johnson County,2022,710,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05073,Lafayette County,2022,659,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05075,Lawrence County,2022,690,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05077,Lee County,2022,641,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05079,Lincoln County,2022,595,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05081,Little River County,2022,683,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05083,Logan County,2022,693,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05085,Lonoke County,2022,944,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05087,Madison County,2022,718,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05089,Marion County,2022,749,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05091,Miller County,2022,831,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05093,Mississippi County,2022,750,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05095,Monroe County,2022,543,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05097,Montgomery County,2022,637,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05099,Nevada County,2022,773,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05101,Newton County,2022,577,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05103,Ouachita County,2022,723,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05105,Perry County,2022,716,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05107,Phillips County,2022,719,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05109,Pike County,2022,657,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05111,Poinsett County,2022,642,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05113,Polk County,2022,730,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05115,Pope County,2022,810,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05117,Prairie County,2022,645,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05119,Pulaski County,2022,985,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05121,Randolph County,2022,674,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05123,St. Francis County,2022,748,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05125,Saline County,2022,948,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05127,Scott County,2022,702,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05129,Searcy County,2022,611,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05131,Sebastian County,2022,805,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05133,Sevier County,2022,700,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05135,Sharp County,2022,610,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05137,Stone County,2022,669,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05139,Union County,2022,775,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05141,Van Buren County,2022,716,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05143,Washington County,2022,935,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05145,White County,2022,793,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05147,Woodruff County,2022,582,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/05149,Yell County,2022,647,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06001,Alameda County,2022,2229,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06005,Amador County,2022,1257,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06007,Butte County,2022,1280,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06009,Calaveras County,2022,1621,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06011,Colusa County,2022,1061,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06013,Contra Costa County,2022,2234,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06015,Del Norte County,2022,1146,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06017,El Dorado County,2022,1597,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06019,Fresno County,2022,1207,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06021,Glenn County,2022,978,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06023,Humboldt County,2022,1191,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06025,Imperial County,2022,961,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06027,Inyo County,2022,1131,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06029,Kern County,2022,1161,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06031,Kings County,2022,1201,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06033,Lake County,2022,1206,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06035,Lassen County,2022,1038,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06037,Los Angeles County,2022,1805,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06039,Madera County,2022,1185,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06041,Marin County,2022,2487,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06043,Mariposa County,2022,1134,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06045,Mendocino County,2022,1240,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06047,Merced County,2022,1200,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06049,Modoc County,2022,796,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06051,Mono County,2022,1259,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06053,Monterey County,2022,1873,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06055,Napa County,2022,2037,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06057,Nevada County,2022,1487,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06059,Orange County,2022,2248,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06061,Placer County,2022,1874,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06063,Plumas County,2022,1102,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06065,Riverside County,2022,1711,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06067,Sacramento County,2022,1599,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06069,San Benito County,2022,1830,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06071,San Bernardino County,2022,1584,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06073,San Diego County,2022,2011,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06075,San Francisco County,2022,2316,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06077,San Joaquin County,2022,1542,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06079,San Luis Obispo County,2022,1800,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06081,San Mateo County,2022,2805,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06083,Santa Barbara County,2022,1964,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06085,Santa Clara County,2022,2719,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06087,Santa Cruz County,2022,2094,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06089,Shasta County,2022,1232,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06091,Sierra County,2022,1184,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06093,Siskiyou County,2022,984,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06095,Solano County,2022,1981,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06097,Sonoma County,2022,2029,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06099,Stanislaus County,2022,1433,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06101,Sutter County,2022,1289,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06103,Tehama County,2022,1119,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06105,Trinity County,2022,928,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06107,Tulare County,2022,1137,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06109,Tuolumne County,2022,1129,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06111,Ventura County,2022,2140,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06113,Yolo County,2022,1655,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/06115,Yuba County,2022,1137,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08001,Adams County,2022,1632,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08003,Alamosa County,2022,815,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08005,Arapahoe County,2022,1708,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08007,Archuleta County,2022,1184,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08009,Baca County,2022,474,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08011,Bent County,2022,778,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08013,Boulder County,2022,1828,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08014,Broomfield County,2022,1923,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08015,Chaffee County,2022,1330,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08017,Cheyenne County,2022,860,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08019,Clear Creek County,2022,1201,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08021,Conejos County,2022,686,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08023,Costilla County,2022,691,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08025,Crowley County,2022,988,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08027,Custer County,2022,865,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08029,Delta County,2022,933,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08031,Denver County,2022,1665,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08033,Dolores County,2022,1513,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08035,Douglas County,2022,1953,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08037,Eagle County,2022,1868,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08039,Elbert County,2022,1436,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08041,El Paso County,2022,1507,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08043,Fremont County,2022,959,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08045,Garfield County,2022,1444,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08047,Gilpin County,2022,1263,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08049,Grand County,2022,1243,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08051,Gunnison County,2022,1168,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08053,Hinsdale County,2022,979,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08055,Huerfano County,2022,735,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08057,Jackson County,2022,1266,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08059,Jefferson County,2022,1696,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08061,Kiowa County,2022,813,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08063,Kit Carson County,2022,931,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08065,Lake County,2022,1554,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08067,La Plata County,2022,1344,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08069,Larimer County,2022,1584,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08071,Las Animas County,2022,806,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08073,Lincoln County,2022,820,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08075,Logan County,2022,854,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08077,Mesa County,2022,1089,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08079,Mineral County,2022,824,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08081,Moffat County,2022,974,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08083,Montezuma County,2022,893,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08085,Montrose County,2022,1061,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08087,Morgan County,2022,1038,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08089,Otero County,2022,802,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08091,Ouray County,2022,1239,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08093,Park County,2022,1788,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08095,Phillips County,2022,848,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08097,Pitkin County,2022,1772,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08099,Prowers County,2022,764,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08101,Pueblo County,2022,967,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08103,Rio Blanco County,2022,893,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08105,Rio Grande County,2022,649,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08107,Routt County,2022,1721,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08109,Saguache County,2022,720,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08111,San Juan County,2022,1031,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08113,San Miguel County,2022,1267,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08115,Sedgwick County,2022,692,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08117,Summit County,2022,1807,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08119,Teller County,2022,1609,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08121,Washington County,2022,908,https://data.census.gov/table/ACSDT5Y2022.B25031
geoId/08123,Weld County,2022,1351,https://data.census.gov/table/ACSDT5Y2022.B25031
