placeDcid,placeName,Date:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue,Value:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue,Source:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue
geoId/06021,Glenn County,2021,27565000,https://www.bea.gov/
geoId/06023,Humboldt County,2021,209213000,https://www.bea.gov/
geoId/06025,Imperial County,2021,142626000,https://www.bea.gov/
geoId/06027,Inyo County,2021,80604000,https://www.bea.gov/
geoId/06029,Kern County,2021,926635000,https://www.bea.gov/
geoId/06031,Kings County,2021,123830000,https://www.bea.gov/
geoId/06033,Lake County,2021,40075000,https://www.bea.gov/
geoId/06035,Lassen County,2021,21525000,https://www.bea.gov/
geoId/06037,Los Angeles County,2021,36556606000,https://www.bea.gov/
geoId/06039,Madera County,2021,145189000,https://www.bea.gov/
geoId/06041,Marin County,2021,1237787000,https://www.bea.gov/
geoId/06043,Mariposa County,2021,97283000,https://www.bea.gov/
geoId/06045,Mendocino County,2021,201602000,https://www.bea.gov/
geoId/06047,Merced County,2021,197909000,https://www.bea.gov/
geoId/06049,Modoc County,2020,6237000,https://www.bea.gov/
geoId/06051,Mono County,2021,239992000,https://www.bea.gov/
geoId/06053,Monterey County,2021,1560148000,https://www.bea.gov/
geoId/06055,Napa County,2021,706502000,https://www.bea.gov/
geoId/06057,Nevada County,2021,245623000,https://www.bea.gov/
geoId/06059,Orange County,2021,9652843000,https://www.bea.gov/
geoId/06061,Placer County,2021,1026074000,https://www.bea.gov/
geoId/06063,Plumas County,2021,32439000,https://www.bea.gov/
geoId/06065,Riverside County,2021,3840220000,https://www.bea.gov/
geoId/06067,Sacramento County,2021,2355893000,https://www.bea.gov/
geoId/06069,San Benito County,2021,63284000,https://www.bea.gov/
geoId/06071,San Bernardino County,2021,2717831000,https://www.bea.gov/
geoId/06073,San Diego County,2021,8722636000,https://www.bea.gov/
geoId/06075,San Francisco County,2021,10312206000,https://www.bea.gov/
geoId/06077,San Joaquin County,2021,801340000,https://www.bea.gov/
geoId/06079,San Luis Obispo County,2021,795110000,https://www.bea.gov/
geoId/06081,San Mateo County,2021,2208367000,https://www.bea.gov/
geoId/06083,Santa Barbara County,2021,1294128000,https://www.bea.gov/
geoId/06085,Santa Clara County,2021,4526742000,https://www.bea.gov/
geoId/06087,Santa Cruz County,2021,653788000,https://www.bea.gov/
geoId/06089,Shasta County,2021,253554000,https://www.bea.gov/
geoId/06091,Sierra County,2020,2599000,https://www.bea.gov/
geoId/06093,Siskiyou County,2021,66378000,https://www.bea.gov/
geoId/06095,Solano County,2021,535070000,https://www.bea.gov/
geoId/06097,Sonoma County,2021,1133291000,https://www.bea.gov/
geoId/06099,Stanislaus County,2021,670255000,https://www.bea.gov/
geoId/06101,Sutter County,2021,99210000,https://www.bea.gov/
geoId/06103,Tehama County,2021,51539000,https://www.bea.gov/
geoId/06105,Trinity County,2021,11203000,https://www.bea.gov/
geoId/06107,Tulare County,2021,433619000,https://www.bea.gov/
geoId/06109,Tuolumne County,2021,100580000,https://www.bea.gov/
geoId/06111,Ventura County,2021,1783817000,https://www.bea.gov/
geoId/06113,Yolo County,2021,271472000,https://www.bea.gov/
geoId/06115,Yuba County,2021,52283000,https://www.bea.gov/
geoId/08001,Adams County,2021,748550000,https://www.bea.gov/
geoId/08003,Alamosa County,2021,30833000,https://www.bea.gov/
geoId/08005,Arapahoe County,2021,1544203000,https://www.bea.gov/
geoId/08007,Archuleta County,2021,40853000,https://www.bea.gov/
geoId/08009,Baca County,2021,1050000,https://www.bea.gov/
geoId/08011,Bent County,2021,2586000,https://www.bea.gov/
geoId/08013,Boulder County,2021,872064000,https://www.bea.gov/
geoId/08014,Broomfield County,2021,193057000,https://www.bea.gov/
geoId/08015,Chaffee County,2021,95122000,https://www.bea.gov/
geoId/08017,Cheyenne County,2020,704000,https://www.bea.gov/
geoId/08019,Clear Creek County,2021,49368000,https://www.bea.gov/
geoId/08021,Conejos County,2021,4517000,https://www.bea.gov/
geoId/08023,Costilla County,2021,2512000,https://www.bea.gov/
geoId/08025,Crowley County,2021,792000,https://www.bea.gov/
geoId/08027,Custer County,2021,5584000,https://www.bea.gov/
geoId/08029,Delta County,2021,21113000,https://www.bea.gov/
geoId/08031,Denver County,2021,3612641000,https://www.bea.gov/
geoId/08033,Dolores County,2021,5435000,https://www.bea.gov/
geoId/08035,Douglas County,2021,671998000,https://www.bea.gov/
geoId/08037,Eagle County,2021,672240000,https://www.bea.gov/
geoId/08039,Elbert County,2021,12376000,https://www.bea.gov/
geoId/08041,El Paso County,2021,1403839000,https://www.bea.gov/
geoId/08043,Fremont County,2021,54505000,https://www.bea.gov/
geoId/08045,Garfield County,2021,166396000,https://www.bea.gov/
geoId/08047,Gilpin County,2021,408307000,https://www.bea.gov/
geoId/08049,Grand County,2021,149425000,https://www.bea.gov/
geoId/08051,Gunnison County,2021,108815000,https://www.bea.gov/
geoId/08053,Hinsdale County,2021,2391000,https://www.bea.gov/
geoId/08055,Huerfano County,2021,6140000,https://www.bea.gov/
geoId/08057,Jackson County,2021,4888000,https://www.bea.gov/
geoId/08059,Jefferson County,2021,1050258000,https://www.bea.gov/
geoId/08061,Kiowa County,2015,1207000,https://www.bea.gov/
geoId/08063,Kit Carson County,2021,10493000,https://www.bea.gov/
geoId/08065,Lake County,2021,18686000,https://www.bea.gov/
geoId/08067,La Plata County,2021,178923000,https://www.bea.gov/
geoId/08069,Larimer County,2021,800883000,https://www.bea.gov/
geoId/08071,Las Animas County,2021,22867000,https://www.bea.gov/
geoId/08073,Lincoln County,2021,11667000,https://www.bea.gov/
geoId/08075,Logan County,2021,22046000,https://www.bea.gov/
geoId/08077,Mesa County,2021,260613000,https://www.bea.gov/
geoId/08079,Mineral County,2021,23048000,https://www.bea.gov/
geoId/08081,Moffat County,2021,16889000,https://www.bea.gov/
geoId/08083,Montezuma County,2021,40290000,https://www.bea.gov/
geoId/08085,Montrose County,2021,56120000,https://www.bea.gov/
geoId/08087,Morgan County,2021,34795000,https://www.bea.gov/
geoId/08089,Otero County,2021,16620000,https://www.bea.gov/
geoId/08091,Ouray County,2021,34775000,https://www.bea.gov/
geoId/08093,Park County,2021,14098000,https://www.bea.gov/
geoId/08095,Phillips County,2019,6364000,https://www.bea.gov/
geoId/08097,Pitkin County,2021,593308000,https://www.bea.gov/
geoId/08099,Prowers County,2021,13821000,https://www.bea.gov/
geoId/08101,Pueblo County,2021,203575000,https://www.bea.gov/
geoId/08103,Rio Blanco County,2021,10109000,https://www.bea.gov/
geoId/08105,Rio Grande County,2021,14558000,https://www.bea.gov/
geoId/08107,Routt County,2021,214137000,https://www.bea.gov/
geoId/08109,Saguache County,2021,5968000,https://www.bea.gov/
geoId/08111,San Juan County,2021,11064000,https://www.bea.gov/
geoId/08113,San Miguel County,2021,135922000,https://www.bea.gov/
geoId/08115,Sedgwick County,2020,993000,https://www.bea.gov/
geoId/08117,Summit County,2021,482074000,https://www.bea.gov/
geoId/08119,Teller County,2021,118119000,https://www.bea.gov/
geoId/08121,Washington County,2013,1732000,https://www.bea.gov/
geoId/08123,Weld County,2021,303930000,https://www.bea.gov/
geoId/08125,Yuma County,2021,8519000,https://www.bea.gov/
geoId/09001,Fairfield County,2021,2546950000,https://www.bea.gov/
geoId/09003,Hartford County,2021,1665756000,https://www.bea.gov/
geoId/09005,Litchfield County,2021,418982000,https://www.bea.gov/
geoId/09007,Middlesex County,2021,331626000,https://www.bea.gov/
geoId/09009,New Haven County,2021,1483751000,https://www.bea.gov/
geoId/09011,New London County,2021,616288000,https://www.bea.gov/
geoId/09013,Tolland County,2021,184453000,https://www.bea.gov/
geoId/09015,Windham County,2021,143349000,https://www.bea.gov/
geoId/10001,Kent County,2021,247096000,https://www.bea.gov/
geoId/10003,New Castle County,2021,867343000,https://www.bea.gov/
geoId/10005,Sussex County,2021,543591000,https://www.bea.gov/
geoId/11001,District of Columbia,2021,3862218000,https://www.bea.gov/
geoId/12001,Alachua County,2021,512549000,https://www.bea.gov/
geoId/12003,Baker County,2021,17170000,https://www.bea.gov/
geoId/12005,Bay County,2021,513801000,https://www.bea.gov/
geoId/12007,Bradford County,2021,20664000,https://www.bea.gov/
geoId/12009,Brevard County,2021,899459000,https://www.bea.gov/
geoId/12011,Broward County,2021,4173544000,https://www.bea.gov/
geoId/12013,Calhoun County,2021,5172000,https://www.bea.gov/
geoId/12015,Charlotte County,2021,270570000,https://www.bea.gov/
geoId/12017,Citrus County,2021,143855000,https://www.bea.gov/
geoId/12019,Clay County,2021,277969000,https://www.bea.gov/
geoId/12021,Collier County,2021,1422956000,https://www.bea.gov/
geoId/12023,Columbia County,2021,90774000,https://www.bea.gov/
geoId/12027,DeSoto County,2021,24976000,https://www.bea.gov/
geoId/12029,Dixie County,2021,6271000,https://www.bea.gov/
geoId/12031,Duval County,2021,2042393000,https://www.bea.gov/
geoId/12033,Escambia County,2021,607790000,https://www.bea.gov/
geoId/12035,Flagler County,2021,169521000,https://www.bea.gov/
geoId/12037,Franklin County,2021,32642000,https://www.bea.gov/
geoId/12039,Gadsden County,2021,20719000,https://www.bea.gov/
geoId/12041,Gilchrist County,2018,7601000,https://www.bea.gov/
geoId/12043,Glades County,2021,3088000,https://www.bea.gov/
geoId/12045,Gulf County,2021,19692000,https://www.bea.gov/
geoId/12047,Hamilton County,2021,8135000,https://www.bea.gov/
geoId/12049,Hardee County,2020,13788000,https://www.bea.gov/
geoId/12051,Hendry County,2021,32379000,https://www.bea.gov/
geoId/12053,Hernando County,2021,173093000,https://www.bea.gov/
geoId/12055,Highlands County,2021,97406000,https://www.bea.gov/
geoId/12057,Hillsborough County,2021,3278923000,https://www.bea.gov/
geoId/12059,Holmes County,2021,8836000,https://www.bea.gov/
geoId/12061,Indian River County,2021,313917000,https://www.bea.gov/
geoId/12063,Jackson County,2021,35103000,https://www.bea.gov/
geoId/12065,Jefferson County,2021,7037000,https://www.bea.gov/
geoId/12067,Lafayette County,2021,1703000,https://www.bea.gov/
geoId/12069,Lake County,2021,410692000,https://www.bea.gov/
geoId/12071,Lee County,2021,1798831000,https://www.bea.gov/
geoId/12073,Leon County,2021,490387000,https://www.bea.gov/
geoId/12075,Levy County,2021,33435000,https://www.bea.gov/
geoId/12077,Liberty County,2020,732000,https://www.bea.gov/
geoId/12079,Madison County,2021,11879000,https://www.bea.gov/
geoId/12081,Manatee County,2021,850348000,https://www.bea.gov/
geoId/12083,Marion County,2021,417759000,https://www.bea.gov/
geoId/12085,Martin County,2021,372528000,https://www.bea.gov/
geoId/12086,Miami-Dade County,2021,8312670000,https://www.bea.gov/
geoId/12087,Monroe County,2021,984907000,https://www.bea.gov/
geoId/12089,Nassau County,2021,228351000,https://www.bea.gov/
geoId/12091,Okaloosa County,2021,559595000,https://www.bea.gov/
geoId/12093,Okeechobee County,2021,46267000,https://www.bea.gov/
geoId/12095,Orange County,2021,10016034000,https://www.bea.gov/
geoId/12097,Osceola County,2021,949628000,https://www.bea.gov/
geoId/12099,Palm Beach County,2021,4047034000,https://www.bea.gov/
geoId/12101,Pasco County,2021,493909000,https://www.bea.gov/
geoId/12103,Pinellas County,2021,2357972000,https://www.bea.gov/
geoId/12105,Polk County,2021,786456000,https://www.bea.gov/
geoId/12107,Putnam County,2019,49619000,https://www.bea.gov/
geoId/12109,St. Johns County,2021,677352000,https://www.bea.gov/
geoId/12111,St. Lucie County,2021,378619000,https://www.bea.gov/
geoId/12113,Santa Rosa County,2021,220718000,https://www.bea.gov/
geoId/12115,Sarasota County,2021,1121438000,https://www.bea.gov/
geoId/12117,Seminole County,2021,642273000,https://www.bea.gov/
geoId/12119,Sumter County,2021,168435000,https://www.bea.gov/
geoId/12121,Suwannee County,2021,31868000,https://www.bea.gov/
geoId/12123,Taylor County,2021,16275000,https://www.bea.gov/
geoId/12125,Union County,2020,2120000,https://www.bea.gov/
geoId/12127,Volusia County,2021,989380000,https://www.bea.gov/
geoId/12129,Wakulla County,2021,20420000,https://www.bea.gov/
geoId/12131,Walton County,2021,389529000,https://www.bea.gov/
geoId/12133,Washington County,2021,20846000,https://www.bea.gov/
geoId/13001,Appling County,2019,17395000,https://www.bea.gov/
geoId/13003,Atkinson County,2020,1063000,https://www.bea.gov/
geoId/13005,Bacon County,2021,5010000,https://www.bea.gov/
geoId/13007,Baker County,2016,80000,https://www.bea.gov/
geoId/13009,Baldwin County,2021,54657000,https://www.bea.gov/
geoId/13011,Banks County,2021,30816000,https://www.bea.gov/
geoId/13013,Barrow County,2021,72744000,https://www.bea.gov/
geoId/13015,Bartow County,2021,157664000,https://www.bea.gov/
geoId/13017,Ben Hill County,2021,8361000,https://www.bea.gov/
geoId/13019,Berrien County,2020,4020000,https://www.bea.gov/
geoId/13021,Bibb County,2021,242073000,https://www.bea.gov/
geoId/13023,Bleckley County,2021,5594000,https://www.bea.gov/
geoId/13025,Brantley County,2019,3550000,https://www.bea.gov/
geoId/13027,Brooks County,2021,2562000,https://www.bea.gov/
geoId/13029,Bryan County,2021,40217000,https://www.bea.gov/
geoId/13031,Bulloch County,2021,94380000,https://www.bea.gov/
geoId/13033,Burke County,2008,7340000,https://www.bea.gov/
geoId/13035,Butts County,2021,22678000,https://www.bea.gov/
geoId/13037,Calhoun County,2021,331000,https://www.bea.gov/
geoId/13039,Camden County,2021,59832000,https://www.bea.gov/
geoId/13043,Candler County,2021,10908000,https://www.bea.gov/
geoId/13045,Carroll County,2021,126259000,https://www.bea.gov/
geoId/13047,Catoosa County,2021,63927000,https://www.bea.gov/
geoId/13049,Charlton County,2021,4393000,https://www.bea.gov/
geoId/13051,Chatham County,2021,883265000,https://www.bea.gov/
geoId/13053,Chattahoochee County,2021,3786000,https://www.bea.gov/
geoId/13055,Chattooga County,2021,8033000,https://www.bea.gov/
geoId/13057,Cherokee County,2021,275723000,https://www.bea.gov/
geoId/13059,Clarke County,2021,250084000,https://www.bea.gov/
geoId/13061,Clay County,2002,961000,https://www.bea.gov/
geoId/13063,Clayton County,2021,329304000,https://www.bea.gov/
geoId/13065,Clinch County,2020,2695000,https://www.bea.gov/
geoId/13067,Cobb County,2021,1591462000,https://www.bea.gov/
geoId/13069,Coffee County,2021,33636000,https://www.bea.gov/
geoId/13071,Colquitt County,2021,25276000,https://www.bea.gov/
geoId/13073,Columbia County,2021,124416000,https://www.bea.gov/
geoId/13075,Cook County,2021,11249000,https://www.bea.gov/
geoId/13077,Coweta County,2021,149185000,https://www.bea.gov/
geoId/13079,Crawford County,2019,514000,https://www.bea.gov/
geoId/13081,Crisp County,2021,35371000,https://www.bea.gov/
geoId/13083,Dade County,2019,10475000,https://www.bea.gov/
geoId/13085,Dawson County,2021,51297000,https://www.bea.gov/
geoId/13087,Decatur County,2021,16446000,https://www.bea.gov/
