placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
geoId/01101,Montgomery County,2022,226301,https://www2.census.gov/programs-surveys/popest/tables
geoId/01103,Morgan County,2022,124231,https://www2.census.gov/programs-surveys/popest/tables
geoId/01105,Perry County,2022,7904,https://www2.census.gov/programs-surveys/popest/tables
geoId/01107,Pickens County,2022,18749,https://www2.census.gov/programs-surveys/popest/tables
geoId/01109,Pike County,2022,33008,https://www2.census.gov/programs-surveys/popest/tables
geoId/01111,Randolph County,2022,22460,https://www2.census.gov/programs-surveys/popest/tables
geoId/01113,Russell County,2022,58594,https://www2.census.gov/programs-surveys/popest/tables
geoId/01115,St. Clair County,2022,93881,https://www2.census.gov/programs-surveys/popest/tables
geoId/01117,Shelby County,2022,230033,https://www2.census.gov/programs-surveys/popest/tables
geoId/01119,Sumter County,2022,11889,https://www2.census.gov/programs-surveys/popest/tables
geoId/01121,Talladega County,2022,80748,https://www2.census.gov/programs-surveys/popest/tables
geoId/01123,Tallapoosa County,2022,40913,https://www2.census.gov/programs-surveys/popest/tables
geoId/01125,Tuscaloosa County,2022,236690,https://www2.census.gov/programs-surveys/popest/tables
geoId/01127,Walker County,2022,64438,https://www2.census.gov/programs-surveys/popest/tables
geoId/01129,Washington County,2022,15094,https://www2.census.gov/programs-surveys/popest/tables
geoId/01131,Wilcox County,2022,10139,https://www2.census.gov/programs-surveys/popest/tables
geoId/01133,Winston County,2022,23741,https://www2.census.gov/programs-surveys/popest/tables
geoId/02013,Aleutians East Borough,2022,3430,https://www2.census.gov/programs-surveys/popest/tables
geoId/02016,Aleutians West Census Area,2022,5090,https://www2.census.gov/programs-surveys/popest/tables
geoId/02020,Anchorage Municipality,2022,286983,https://www2.census.gov/programs-surveys/popest/tables
geoId/02050,Bethel Census Area,2022,18259,https://www2.census.gov/programs-surveys/popest/tables
geoId/02060,Bristol Bay Borough,2022,870,https://www2.census.gov/programs-surveys/popest/tables
geoId/02063,Chugach Census Area,2022,6899,https://www2.census.gov/programs-surveys/popest/tables
geoId/02066,Copper River Census Area,2022,2609,https://www2.census.gov/programs-surveys/popest/tables
geoId/02068,Denali Borough,2022,1575,https://www2.census.gov/programs-surveys/popest/tables
geoId/02070,Dillingham Census Area,2022,4724,https://www2.census.gov/programs-surveys/popest/tables
geoId/02090,Fairbanks North Star Borough,2022,95202,https://www2.census.gov/programs-surveys/popest/tables
geoId/02100,Haines Borough,2022,2070,https://www2.census.gov/programs-surveys/popest/tables
geoId/02105,Hoonah-Angoon Census Area,2022,2279,https://www2.census.gov/programs-surveys/popest/tables
geoId/02110,Juneau City and Borough,2022,31740,https://www2.census.gov/programs-surveys/popest/tables
geoId/02122,Kenai Peninsula Borough,2022,60611,https://www2.census.gov/programs-surveys/popest/tables
geoId/02130,Ketchikan Gateway Borough,2022,13772,https://www2.census.gov/programs-surveys/popest/tables
geoId/02150,Kodiak Island Borough,2022,12639,https://www2.census.gov/programs-surveys/popest/tables
geoId/02158,Kusilvak Census Area,2022,8214,https://www2.census.gov/programs-surveys/popest/tables
geoId/02164,Lake and Peninsula Borough,2022,1377,https://www2.census.gov/programs-surveys/popest/tables
geoId/02170,Matanuska-Susitna Borough,2022,113472,https://www2.census.gov/programs-surveys/popest/tables
geoId/02180,Nome Census Area,2022,9791,https://www2.census.gov/programs-surveys/popest/tables
geoId/02185,North Slope Borough,2022,10811,https://www2.census.gov/programs-surveys/popest/tables
geoId/02188,Northwest Arctic Borough,2022,7453,https://www2.census.gov/programs-surveys/popest/tables
geoId/02195,Petersburg Borough,2022,3370,https://www2.census.gov/programs-surveys/popest/tables
geoId/02198,Prince of Wales-Hyder Census Area,2022,5650,https://www2.census.gov/programs-surveys/popest/tables
geoId/02220,Sitka City and Borough,2022,8353,https://www2.census.gov/programs-surveys/popest/tables
geoId/02230,Skagway Municipality,2022,1092,https://www2.census.gov/programs-surveys/popest/tables
geoId/02240,Southeast Fairbanks Census Area,2022,7016,https://www2.census.gov/programs-surveys/popest/tables
geoId/02275,Wrangell City and Borough,2022,2071,https://www2.census.gov/programs-surveys/popest/tables
geoId/02282,Yakutat City and Borough,2022,685,https://www2.census.gov/programs-surveys/popest/tables
geoId/02290,Yukon-Koyukuk Census Area,2022,5169,https://www2.census.gov/programs-surveys/popest/tables
geoId/04001,Apache County,2022,65533,https://www2.census.gov/programs-surveys/popest/tables
geoId/04003,Cochise County,2022,125487,https://www2.census.gov/programs-surveys/popest/tables
geoId/04005,Coconino County,2022,144223,https://www2.census.gov/programs-surveys/popest/tables
geoId/04007,Gila County,2022,53922,https://www2.census.gov/programs-surveys/popest/tables
geoId/04009,Graham County,2022,38822,https://www2.census.gov/programs-surveys/popest/tables
geoId/04011,Greenlee County,2022,9327,https://www2.census.gov/programs-surveys/popest/tables
geoId/04012,La Paz County,2022,16535,https://www2.census.gov/programs-surveys/popest/tables
geoId/04013,Maricopa County,2022,4555833,https://www2.census.gov/programs-surveys/popest/tables
geoId/04015,Mohave County,2022,220905,https://www2.census.gov/programs-surveys/popest/tables
geoId/04017,Navajo County,2022,108800,https://www2.census.gov/programs-surveys/popest/tables
geoId/04019,Pima County,2022,1057476,https://www2.census.gov/programs-surveys/popest/tables
geoId/04021,Pinal County,2022,465037,https://www2.census.gov/programs-surveys/popest/tables
geoId/04023,Santa Cruz County,2022,48680,https://www2.census.gov/programs-surveys/popest/tables
geoId/04025,Yavapai County,2022,246230,https://www2.census.gov/programs-surveys/popest/tables
geoId/04027,Yuma County,2022,208874,https://www2.census.gov/programs-surveys/popest/tables
geoId/05001,Arkansas County,2022,16498,https://www2.census.gov/programs-surveys/popest/tables
geoId/05003,Ashley County,2022,18348,https://www2.census.gov/programs-surveys/popest/tables
geoId/05005,Baxter County,2022,42485,https://www2.census.gov/programs-surveys/popest/tables
geoId/05007,Benton County,2022,302822,https://www2.census.gov/programs-surveys/popest/tables
geoId/05009,Boone County,2022,38280,https://www2.census.gov/programs-surveys/popest/tables
geoId/05011,Bradley County,2022,10168,https://www2.census.gov/programs-surveys/popest/tables
geoId/05013,Calhoun County,2022,4687,https://www2.census.gov/programs-surveys/popest/tables
geoId/05015,Carroll County,2022,28717,https://www2.census.gov/programs-surveys/popest/tables
geoId/05017,Chicot County,2022,9834,https://www2.census.gov/programs-surveys/popest/tables
geoId/05019,Clark County,2022,21276,https://www2.census.gov/programs-surveys/popest/tables
geoId/05021,Clay County,2022,14271,https://www2.census.gov/programs-surveys/popest/tables
geoId/05023,Cleburne County,2022,25253,https://www2.census.gov/programs-surveys/popest/tables
geoId/05025,Cleveland County,2022,7467,https://www2.census.gov/programs-surveys/popest/tables
geoId/05027,Columbia County,2022,22286,https://www2.census.gov/programs-surveys/popest/tables
geoId/05029,Conway County,2022,21021,https://www2.census.gov/programs-surveys/popest/tables
geoId/05031,Craighead County,2022,112863,https://www2.census.gov/programs-surveys/popest/tables
geoId/05033,Crawford County,2022,61041,https://www2.census.gov/programs-surveys/popest/tables
geoId/05035,Crittenden County,2022,47051,https://www2.census.gov/programs-surveys/popest/tables
geoId/05037,Cross County,2022,16590,https://www2.census.gov/programs-surveys/popest/tables
geoId/05039,Dallas County,2022,6196,https://www2.census.gov/programs-surveys/popest/tables
geoId/05041,Desha County,2022,10758,https://www2.census.gov/programs-surveys/popest/tables
geoId/05043,Drew County,2022,16912,https://www2.census.gov/programs-surveys/popest/tables
geoId/05045,Faulkner County,2022,127565,https://www2.census.gov/programs-surveys/popest/tables
geoId/05047,Franklin County,2022,17270,https://www2.census.gov/programs-surveys/popest/tables
geoId/05049,Fulton County,2022,12355,https://www2.census.gov/programs-surveys/popest/tables
geoId/05051,Garland County,2022,99982,https://www2.census.gov/programs-surveys/popest/tables
geoId/05053,Grant County,2022,18129,https://www2.census.gov/programs-surveys/popest/tables
geoId/05055,Greene County,2022,46408,https://www2.census.gov/programs-surveys/popest/tables
geoId/05057,Hempstead County,2022,19481,https://www2.census.gov/programs-surveys/popest/tables
geoId/05059,Hot Spring County,2022,33149,https://www2.census.gov/programs-surveys/popest/tables
geoId/05061,Howard County,2022,12622,https://www2.census.gov/programs-surveys/popest/tables
geoId/05063,Independence County,2022,38254,https://www2.census.gov/programs-surveys/popest/tables
geoId/05065,Izard County,2022,14029,https://www2.census.gov/programs-surveys/popest/tables
geoId/05067,Jackson County,2022,16654,https://www2.census.gov/programs-surveys/popest/tables
geoId/05069,Jefferson County,2022,64295,https://www2.census.gov/programs-surveys/popest/tables
geoId/05071,Johnson County,2022,25970,https://www2.census.gov/programs-surveys/popest/tables
geoId/05073,Lafayette County,2022,6129,https://www2.census.gov/programs-surveys/popest/tables
geoId/05075,Lawrence County,2022,16194,https://www2.census.gov/programs-surveys/popest/tables
geoId/05077,Lee County,2022,8367,https://www2.census.gov/programs-surveys/popest/tables
geoId/05079,Lincoln County,2022,12910,https://www2.census.gov/programs-surveys/popest/tables
geoId/05081,Little River County,2022,11865,https://www2.census.gov/programs-surveys/popest/tables
geoId/05083,Logan County,2022,21258,https://www2.census.gov/programs-surveys/popest/tables
geoId/05085,Lonoke County,2022,75199,https://www2.census.gov/programs-surveys/popest/tables
geoId/05087,Madison County,2022,17463,https://www2.census.gov/programs-surveys/popest/tables
geoId/05089,Marion County,2022,17289,https://www2.census.gov/programs-surveys/popest/tables
geoId/05091,Miller County,2022,42608,https://www2.census.gov/programs-surveys/popest/tables
geoId/05093,Mississippi County,2022,38863,https://www2.census.gov/programs-surveys/popest/tables
geoId/05095,Monroe County,2022,6568,https://www2.census.gov/programs-surveys/popest/tables
geoId/05097,Montgomery County,2022,8543,https://www2.census.gov/programs-surveys/popest/tables
geoId/05099,Nevada County,2022,8179,https://www2.census.gov/programs-surveys/popest/tables
geoId/05101,Newton County,2022,7101,https://www2.census.gov/programs-surveys/popest/tables
geoId/05103,Ouachita County,2022,21994,https://www2.census.gov/programs-surveys/popest/tables
geoId/05105,Perry County,2022,10073,https://www2.census.gov/programs-surveys/popest/tables
geoId/05107,Phillips County,2022,15350,https://www2.census.gov/programs-surveys/popest/tables
geoId/05109,Pike County,2022,10159,https://www2.census.gov/programs-surveys/popest/tables
geoId/05111,Poinsett County,2022,22453,https://www2.census.gov/programs-surveys/popest/tables
geoId/05113,Polk County,2022,19334,https://www2.census.gov/programs-surveys/popest/tables
geoId/05115,Pope County,2022,64053,https://www2.census.gov/programs-surveys/popest/tables
geoId/05117,Prairie County,2022,8077,https://www2.census.gov/programs-surveys/popest/tables
geoId/05119,Pulaski County,2022,399387,https://www2.census.gov/programs-surveys/popest/tables
geoId/05121,Randolph County,2022,18852,https://www2.census.gov/programs-surveys/popest/tables
geoId/05123,St. Francis County,2022,22402,https://www2.census.gov/programs-surveys/popest/tables
geoId/05125,Saline County,2022,127415,https://www2.census.gov/programs-surveys/popest/tables
geoId/05127,Scott County,2022,9796,https://www2.census.gov/programs-surveys/popest/tables
geoId/05129,Searcy County,2022,7906,https://www2.census.gov/programs-surveys/popest/tables
geoId/05131,Sebastian County,2022,129109,https://www2.census.gov/programs-surveys/popest/tables
geoId/05133,Sevier County,2022,15738,https://www2.census.gov/programs-surveys/popest/tables
geoId/05135,Sharp County,2022,17836,https://www2.census.gov/programs-surveys/popest/tables
geoId/05137,Stone County,2022,12585,https://www2.census.gov/programs-surveys/popest/tables
geoId/05139,Union County,2022,37813,https://www2.census.gov/programs-surveys/popest/tables
geoId/05141,Van Buren County,2022,16103,https://www2.census.gov/programs-surveys/popest/tables
geoId/05143,Washington County,2022,256682,https://www2.census.gov/programs-surveys/popest/tables
geoId/05145,White County,2022,77616,https://www2.census.gov/programs-surveys/popest/tables
geoId/05147,Woodruff County,2022,6057,https://www2.census.gov/programs-surveys/popest/tables
geoId/05149,Yell County,2022,20091,https://www2.census.gov/programs-surveys/popest/tables
geoId/06001,Alameda County,2022,1628259,https://www2.census.gov/programs-surveys/popest/tables
geoId/06003,Alpine County,2022,1190,https://www2.census.gov/programs-surveys/popest/tables
geoId/06005,Amador County,2022,41493,https://www2.census.gov/programs-surveys/popest/tables
geoId/06007,Butte County,2022,207369,https://www2.census.gov/programs-surveys/popest/tables
geoId/06009,Calaveras County,2022,46556,https://www2.census.gov/programs-surveys/popest/tables
geoId/06011,Colusa County,2022,21909,https://www2.census.gov/programs-surveys/popest/tables
geoId/06013,Contra Costa County,2022,1157019,https://www2.census.gov/programs-surveys/popest/tables
geoId/06015,Del Norte County,2022,27112,https://www2.census.gov/programs-surveys/popest/tables
geoId/06017,El Dorado County,2022,192787,https://www2.census.gov/programs-surveys/popest/tables
geoId/06019,Fresno County,2022,1015359,https://www2.census.gov/programs-surveys/popest/tables
geoId/06021,Glenn County,2022,28360,https://www2.census.gov/programs-surveys/popest/tables
geoId/06023,Humboldt County,2022,134944,https://www2.census.gov/programs-surveys/popest/tables
geoId/06025,Imperial County,2022,178940,https://www2.census.gov/programs-surveys/popest/tables
geoId/06027,Inyo County,2022,18742,https://www2.census.gov/programs-surveys/popest/tables
geoId/06029,Kern County,2022,916751,https://www2.census.gov/programs-surveys/popest/tables
geoId/06031,Kings County,2022,152987,https://www2.census.gov/programs-surveys/popest/tables
geoId/06033,Lake County,2022,68172,https://www2.census.gov/programs-surveys/popest/tables
geoId/06035,Lassen County,2022,30020,https://www2.census.gov/programs-surveys/popest/tables
geoId/06037,Los Angeles County,2022,9719765,https://www2.census.gov/programs-surveys/popest/tables
geoId/06039,Madera County,2022,160329,https://www2.census.gov/programs-surveys/popest/tables
geoId/06041,Marin County,2022,256154,https://www2.census.gov/programs-surveys/popest/tables
geoId/06043,Mariposa County,2022,17053,https://www2.census.gov/programs-surveys/popest/tables
geoId/06045,Mendocino County,2022,90007,https://www2.census.gov/programs-surveys/popest/tables
geoId/06047,Merced County,2022,290210,https://www2.census.gov/programs-surveys/popest/tables
geoId/06049,Modoc County,2022,8619,https://www2.census.gov/programs-surveys/popest/tables
geoId/06051,Mono County,2022,13002,https://www2.census.gov/programs-surveys/popest/tables
geoId/06053,Monterey County,2022,432884,https://www2.census.gov/programs-surveys/popest/tables
geoId/06055,Napa County,2022,134370,https://www2.census.gov/programs-surveys/popest/tables
geoId/06057,Nevada County,2022,102401,https://www2.census.gov/programs-surveys/popest/tables
geoId/06059,Orange County,2022,3150372,https://www2.census.gov/programs-surveys/popest/tables
geoId/06061,Placer County,2022,418074,https://www2.census.gov/programs-surveys/popest/tables
geoId/06063,Plumas County,2022,19443,https://www2.census.gov/programs-surveys/popest/tables
geoId/06065,Riverside County,2022,2474241,https://www2.census.gov/programs-surveys/popest/tables
geoId/06067,Sacramento County,2022,1584380,https://www2.census.gov/programs-surveys/popest/tables
geoId/06069,San Benito County,2022,67643,https://www2.census.gov/programs-surveys/popest/tables
geoId/06071,San Bernardino County,2022,2194908,https://www2.census.gov/programs-surveys/popest/tables
geoId/06073,San Diego County,2022,3277176,https://www2.census.gov/programs-surveys/popest/tables
geoId/06075,San Francisco County,2022,807774,https://www2.census.gov/programs-surveys/popest/tables
geoId/06077,San Joaquin County,2022,794293,https://www2.census.gov/programs-surveys/popest/tables
geoId/06079,San Luis Obispo County,2022,282046,https://www2.census.gov/programs-surveys/popest/tables
geoId/06081,San Mateo County,2022,728929,https://www2.census.gov/programs-surveys/popest/tables
geoId/06083,Santa Barbara County,2022,443915,https://www2.census.gov/programs-surveys/popest/tables
geoId/06085,Santa Clara County,2022,1878335,https://www2.census.gov/programs-surveys/popest/tables
geoId/06087,Santa Cruz County,2022,264240,https://www2.census.gov/programs-surveys/popest/tables
geoId/06089,Shasta County,2022,180937,https://www2.census.gov/programs-surveys/popest/tables
geoId/06091,Sierra County,2022,3222,https://www2.census.gov/programs-surveys/popest/tables
geoId/06093,Siskiyou County,2022,43786,https://www2.census.gov/programs-surveys/popest/tables
geoId/06095,Solano County,2022,448885,https://www2.census.gov/programs-surveys/popest/tables
geoId/06097,Sonoma County,2022,482669,https://www2.census.gov/programs-surveys/popest/tables
geoId/06099,Stanislaus County,2022,551226,https://www2.census.gov/programs-surveys/popest/tables
geoId/06101,Sutter County,2022,98569,https://www2.census.gov/programs-surveys/popest/tables
geoId/06103,Tehama County,2022,65299,https://www2.census.gov/programs-surveys/popest/tables
geoId/06105,Trinity County,2022,15778,https://www2.census.gov/programs-surveys/popest/tables
geoId/06107,Tulare County,2022,477884,https://www2.census.gov/programs-surveys/popest/tables
geoId/06109,Tuolumne County,2022,54587,https://www2.census.gov/programs-surveys/popest/tables
geoId/06111,Ventura County,2022,832871,https://www2.census.gov/programs-surveys/popest/tables
geoId/06113,Yolo County,2022,222018,https://www2.census.gov/programs-surveys/popest/tables
geoId/06115,Yuba County,2022,84353,https://www2.census.gov/programs-surveys/popest/tables
geoId/08001,Adams County,2022,527509,https://www2.census.gov/programs-surveys/popest/tables
geoId/08003,Alamosa County,2022,16587,https://www2.census.gov/programs-surveys/popest/tables
geoId/08005,Arapahoe County,2022,656269,https://www2.census.gov/programs-surveys/popest/tables
geoId/08007,Archuleta County,2022,13989,https://www2.census.gov/programs-surveys/popest/tables
geoId/08009,Baca County,2022,3435,https://www2.census.gov/programs-surveys/popest/tables
geoId/08011,Bent County,2022,5439,https://www2.census.gov/programs-surveys/popest/tables
geoId/08013,Boulder County,2022,327339,https://www2.census.gov/programs-surveys/popest/tables
geoId/08014,Broomfield County,2022,76195,https://www2.census.gov/programs-surveys/popest/tables
geoId/08015,Chaffee County,2022,20265,https://www2.census.gov/programs-surveys/popest/tables
geoId/08017,Cheyenne County,2022,1731,https://www2.census.gov/programs-surveys/popest/tables
geoId/08019,Clear Creek County,2022,9367,https://www2.census.gov/programs-surveys/popest/tables
geoId/08021,Conejos County,2022,7587,https://www2.census.gov/programs-surveys/popest/tables
geoId/08023,Costilla County,2022,3615,https://www2.census.gov/programs-surveys/popest/tables
geoId/08025,Crowley County,2022,5627,https://www2.census.gov/programs-surveys/popest/tables
geoId/08027,Custer County,2022,5337,https://www2.census.gov/programs-surveys/popest/tables
geoId/08029,Delta County,2022,31560,https://www2.census.gov/programs-surveys/popest/tables
geoId/08031,Denver County,2022,713453,https://www2.census.gov/programs-surveys/popest/tables
geoId/08033,Dolores County,2022,2460,https://www2.census.gov/programs-surveys/popest/tables
geoId/08035,Douglas County,2022,375937,https://www2.census.gov/programs-surveys/popest/tables
geoId/08037,Eagle County,2022,55218,https://www2.census.gov/programs-surveys/popest/tables
geoId/08039,Elbert County,2022,27842,https://www2.census.gov/programs-surveys/popest/tables
geoId/08041,El Paso County,2022,740596,https://www2.census.gov/programs-surveys/popest/tables
geoId/08043,Fremont County,2022,49616,https://www2.census.gov/programs-surveys/popest/tables
geoId/08045,Garfield County,2022,62256,https://www2.census.gov/programs-surveys/popest/tables
geoId/08047,Gilpin County,2022,5886,https://www2.census.gov/programs-surveys/popest/tables
geoId/08049,Grand County,2022,15734,https://www2.census.gov/programs-surveys/popest/tables
geoId/08051,Gunnison County,2022,17320,https://www2.census.gov/programs-surveys/popest/tables
geoId/08053,Hinsdale County,2022,771,https://www2.census.gov/programs-surveys/popest/tables
geoId/08055,Huerfano County,2022,7097,https://www2.census.gov/programs-surveys/popest/tables
geoId/08057,Jackson County,2022,1314,https://www2.census.gov/programs-surveys/popest/tables
geoId/08059,Jefferson County,2022,575811,https://www2.census.gov/programs-surveys/popest/tables
geoId/08061,Kiowa County,2022,1434,https://www2.census.gov/programs-surveys/popest/tables
geoId/08063,Kit Carson County,2022,6983,https://www2.census.gov/programs-surveys/popest/tables
geoId/08065,Lake County,2022,7346,https://www2.census.gov/programs-surveys/popest/tables
geoId/08067,La Plata County,2022,56553,https://www2.census.gov/programs-surveys/popest/tables
geoId/08069,Larimer County,2022,367577,https://www2.census.gov/programs-surveys/popest/tables
geoId/08071,Las Animas County,2022,14311,https://www2.census.gov/programs-surveys/popest/tables
geoId/08073,Lincoln County,2022,5510,https://www2.census.gov/programs-surveys/popest/tables
geoId/08075,Logan County,2022,20792,https://www2.census.gov/programs-surveys/popest/tables
geoId/08077,Mesa County,2022,158531,https://www2.census.gov/programs-surveys/popest/tables
geoId/08079,Mineral County,2022,931,https://www2.census.gov/programs-surveys/popest/tables
geoId/08081,Moffat County,2022,13205,https://www2.census.gov/programs-surveys/popest/tables
geoId/08083,Montezuma County,2022,26467,https://www2.census.gov/programs-surveys/popest/tables
geoId/08085,Montrose County,2022,43807,https://www2.census.gov/programs-surveys/popest/tables
geoId/08087,Morgan County,2022,29266,https://www2.census.gov/programs-surveys/popest/tables
geoId/08089,Otero County,2022,18311,https://www2.census.gov/programs-surveys/popest/tables
geoId/08091,Ouray County,2022,5103,https://www2.census.gov/programs-surveys/popest/tables
geoId/08093,Park County,2022,17921,https://www2.census.gov/programs-surveys/popest/tables
geoId/08095,Phillips County,2022,4448,https://www2.census.gov/programs-surveys/popest/tables
geoId/08097,Pitkin County,2022,16847,https://www2.census.gov/programs-surveys/popest/tables
geoId/08099,Prowers County,2022,11873,https://www2.census.gov/programs-surveys/popest/tables
geoId/08101,Pueblo County,2022,169472,https://www2.census.gov/programs-surveys/popest/tables
geoId/08103,Rio Blanco County,2022,6549,https://www2.census.gov/programs-surveys/popest/tables
geoId/08105,Rio Grande County,2022,11337,https://www2.census.gov/programs-surveys/popest/tables
geoId/08107,Routt County,2022,25072,https://www2.census.gov/programs-surveys/popest/tables
geoId/08109,Saguache County,2022,6627,https://www2.census.gov/programs-surveys/popest/tables
geoId/08111,San Juan County,2022,806,https://www2.census.gov/programs-surveys/popest/tables
geoId/08113,San Miguel County,2022,8008,https://www2.census.gov/programs-surveys/popest/tables
geoId/08115,Sedgwick County,2022,2286,https://www2.census.gov/programs-surveys/popest/tables
geoId/08117,Summit County,2022,30636,https://www2.census.gov/programs-surveys/popest/tables
geoId/08119,Teller County,2022,24860,https://www2.census.gov/programs-surveys/popest/tables
geoId/08121,Washington County,2022,4847,https://www2.census.gov/programs-surveys/popest/tables
geoId/08123,Weld County,2022,350266,https://www2.census.gov/programs-surveys/popest/tables
geoId/08125,Yuma County,2022,9895,https://www2.census.gov/programs-surveys/popest/tables
geoId/09110,Capitol Planning Region,2022,972068,https://www2.census.gov/programs-surveys/popest/tables
geoId/09120,Greater Bridgeport Planning Region,2022,327125,https://www2.census.gov/programs-surveys/popest/tables
geoId/09130,Lower Connecticut River Valley Planning Region,2022,175982,https://www2.census.gov/programs-surveys/popest/tables
geoId/09140,Naugatuck Valley Planning Region,2022,453590,https://www2.census.gov/programs-surveys/popest/tables
geoId/09150,Northeastern Connecticut Planning Region,2022,96148,https://www2.census.gov/programs-surveys/popest/tables
geoId/09160,Northwest Hills Planning Region,2022,113277,https://www2.census.gov/programs-surveys/popest/tables
geoId/09170,South Central Connecticut Planning Region,2022,568402,https://www2.census.gov/programs-surveys/popest/tables
geoId/09180,Southeastern Connecticut Planning Region,2022,279257,https://www2.census.gov/programs-surveys/popest/tables
geoId/09190,Western Connecticut Planning Region,2022,622857,https://www2.census.gov/programs-surveys/popest/tables
geoId/10001,Kent County,2022,187758,https://www2.census.gov/programs-surveys/popest/tables
geoId/10003,New Castle County,2022,575254,https://www2.census.gov/programs-surveys/popest/tables
geoId/10005,Sussex County,2022,256447,https://www2.census.gov/programs-surveys/popest/tables
geoId/11001,District of Columbia,2022,670949,https://www2.census.gov/programs-surveys/popest/tables
geoId/12001,Alachua County,2022,284041,https://www2.census.gov/programs-surveys/popest/tables
geoId/12003,Baker County,2022,27786,https://www2.census.gov/programs-surveys/popest/tables
geoId/12005,Bay County,2022,185210,https://www2.census.gov/programs-surveys/popest/tables
