placeDcid,placeName,Date:Count_Person_Years16Onwards_Bicycle_WorkCommute_Employed,Value:Count_Person_Years16Onwards_Bicycle_WorkCommute_Employed,Source:Count_Person_Years16Onwards_Bicycle_WorkCommute_Employed,Date:Count_Person_Years16Onwards_CarTruckOrVan_WorkCommute_Employed,Value:Count_Person_Years16Onwards_CarTruckOrVan_WorkCommute_Employed,Source:Count_Person_Years16Onwards_CarTruckOrVan_WorkCommute_Employed,Date:Count_Person_Years16Onwards_DroveAlone_WorkCommute_Employed,Value:Count_Person_Years16Onwards_DroveAlone_WorkCommute_Employed,Source:Count_Person_Years16Onwards_DroveAlone_WorkCommute_Employed,Date:Count_Person_Years16Onwards_PublicTransportationExcludingTaxicab_WorkCommute_Employed,Value:Count_Person_Years16Onwards_PublicTransportationExcludingTaxicab_WorkCommute_Employed,Source:Count_Person_Years16Onwards_PublicTransportationExcludingTaxicab_WorkCommute_Employed,Date:Count_Person_Years16Onwards_Walked_WorkCommute_Employed,Value:Count_Person_Years16Onwards_Walked_WorkCommute_Employed,Source:Count_Person_Years16Onwards_Walked_WorkCommute_Employed
geoId/01021,Chilton County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,17227.32,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,15245.252,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,296.384,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01023,Choctaw County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4247.93,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3847.348,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,66.03,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01025,Clarke County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,7347.77,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6963.07,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,15.388,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,76.94,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01027,Clay County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4736.04,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4316.784,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,15.528,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,36.232,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01029,Cleburne County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5374.873,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4765.236,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,16.779,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01031,Coffee County,2022,68.007,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,21444.874,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,19404.664,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,113.345,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01033,Colbert County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,23456.545,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,21516.53,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,25.195,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,327.535,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01035,Conecuh County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3539.424,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3209.664,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,29.312,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01037,Coosa County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3492.857,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3026.886,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,65.467,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01039,Covington County,2022,14.928,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,14256.24,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,13062,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,134.352,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01041,Crenshaw County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4676.736,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4030.608,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,25.64,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,66.664,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01043,Cullman County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,37162.831,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,32947.692,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,38.671,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,425.381,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01045,Dale County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,18286.325,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,16467.577,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,39.538,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,494.225,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01047,Dallas County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,13261.444,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,12215.232,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,70.69,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,113.104,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01049,DeKalb County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,28593.76,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,24868.09,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,30.29,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,393.77,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01051,Elmore County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,35567.88,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,33429.92,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,38.872,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,505.336,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01053,Escambia County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,12465.607,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,11650.695,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,38.199,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,76.398,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01055,Etowah County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,41616.68,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,38512.915,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,43.715,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,393.435,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01057,Fayette County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6011.504,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5481.444,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,31.18,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01059,Franklin County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,13067.925,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,11070.878,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,67.015,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01061,Geneva County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,10095.65,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,9341.133,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,95.643,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01063,Greene County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,2044.14,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1653.54,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,52.08,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01065,Hale County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5159.754,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4656.102,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,21.432,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5.358,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01067,Henry County,2022,7.154,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6796.3,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6274.058,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,14.308,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,7.154,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01069,Houston County,2022,45.364,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,42642.16,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,38922.312,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,45.364,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,317.548,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01071,Jackson County,2022,20.023,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,18781.574,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,17059.596,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,20.023,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,200.23,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01073,Jefferson County,2022,612.444,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,269781.582,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,244058.934,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1837.332,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4287.108,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01075,Lamar County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4992.232,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,4517.03,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5.222,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01077,Lauderdale County,2022,42.958,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,39865.024,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,35698.098,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,386.622,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01079,Lawrence County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,13253.52,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,12306.84,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,13.72,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,68.6,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01081,Lee County,2022,80.729,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,71445.165,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,65067.574,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,484.374,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,2260.412,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01083,Limestone County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,42820.075,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,39791.915,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,141.945,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,189.26,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01085,Lowndes County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3383.418,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3121.194,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,3.642,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,105.618,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01087,Macon County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5857.181,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5205.629,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6.787,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,441.155,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01089,Madison County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,165104.352,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,153065.493,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,382.186,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1528.744,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01091,Marengo County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6762.686,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6274.352,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,110.985,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,44.394,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01093,Marion County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,10542.654,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,9548.064,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,77.357,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01095,Marshall County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,38127.978,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,34204.842,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,81.732,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,122.598,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01097,Mobile County,2022,173.909,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,158952.826,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,146779.196,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,521.727,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1565.181,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01099,Monroe County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5865.46,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5616.66,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,62.2,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,55.98,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01101,Montgomery County,2022,98.021,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,89199.11,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,80279.199,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,392.084,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1470.315,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01103,Morgan County,2022,54.268,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,50414.972,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,46290.604,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,54.268,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,488.412,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01105,Perry County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1949.024,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,1821.82,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,118.58,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01107,Pickens County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,6169.102,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,5901.462,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,73.601,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,33.455,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01109,Pike County,2022,53.352,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,12284.298,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,11257.272,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,53.352,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,266.76,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01111,Randolph County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,7678.048,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,7128.408,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,93.016,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,93.016,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01113,Russell County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,21256.532,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,19606.912,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,141.396,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,212.094,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01115,St. Clair County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,37750.028,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,35106.7,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,41.302,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,206.51,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
geoId/01117,Shelby County,2022,0,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,96645.604,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,89089.88,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,112.772,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801,2022,676.632,https://data.census.gov/table?q=S0801&tid=ACSST5Y2016.S0801
